table,field,meaning,type,unit,generated_by,event_time_semantics,model_eligible,label_only,provenance_only,generator_internal,leakage_risk,downstream_consumer,status
raw_events,interval_start,Optional collection interval start,timestamp,UTC,observation_process,AVAILABLE_AT_INTERVAL_END,false,true,false,false,Pre-cutoff partial interval leakage,Phase-6 renal logic,DRAFT_REVIEW_REQUIRED
raw_events,interval_end,Optional collection interval end,timestamp,UTC,observation_process,AVAILABLE_AT_INTERVAL_END,false,true,false,false,Future completion leakage,Phase-6 renal logic,DRAFT_REVIEW_REQUIRED
raw_events,concept_code,Versioned physiological concept,string,,true_physiology_process,EVENT_TIME_LEQ_CUTOFF,true,false,false,false,Concept naming may expose target,Phase-5/7 canonical builder,DRAFT_REVIEW_REQUIRED
raw_events,value_numeric,Observed quantitative value,number,concept-specific,measurement_noise,EVENT_TIME_LEQ_CUTOFF,true,false,false,false,Future value or latent state copied as observation,Phase-5/7 canonical builder,DRAFT_REVIEW_REQUIRED
raw_events,value_text,Observed categorical value,string,,measurement_noise,EVENT_TIME_LEQ_CUTOFF,true,false,false,false,Future state or outcome category exported,Phase-5/7 canonical builder,DRAFT_REVIEW_REQUIRED
raw_events,unit,Canonical concept unit,string,,true_physiology_process,SAME_AS_EVENT,false,false,true,false,Unit mismatch can corrupt semantics,Phase-5 provenance,DRAFT_REVIEW_REQUIRED
raw_events,generator_component,Versioned source-process identity,string,,generator_runtime,SAME_AS_EVENT,false,false,true,false,Internal mechanism identity used as feature,acceptance/lineage,DRAFT_REVIEW_REQUIRED
support_intervals,support_event_id,Unique support interval identity,string,,support_process,TIE_BREAKER,false,false,true,false,Identifier encoding future support outcome,Pulkit state/provenance,DRAFT_REVIEW_REQUIRED
support_intervals,subject_id,Subject foreign key,string,,support_process,STRUCTURAL,false,true,false,false,Identity memorization if modeled,Pulkit adapter,DRAFT_REVIEW_REQUIRED
support_intervals,stay_id,Episode foreign key,string,,support_process,STRUCTURAL,false,true,false,false,Stay memorization if modeled,Pulkit adapter,DRAFT_REVIEW_REQUIRED
support_intervals,support_type,Vasopressor or respiratory process,string,,support_process,CUTOFF_SAFE_STATE_ONLY,true,false,false,false,Future support type visible before initiation,Pulkit state/Phase-7 builder,DRAFT_REVIEW_REQUIRED
support_intervals,support_category,Qualifying or nonqualifying category,string,,support_process,CUTOFF_SAFE_STATE_ONLY,true,false,false,false,Future category visible before transition,Pulkit state/Phase-7 builder,REVIEW_REQUIRED
support_intervals,agent_key,Synthetic vasopressor vocabulary key,string,,support_process,CUTOFF_SAFE_STATE_ONLY,true,false,false,false,Future agent choice visible before start,Pulkit vasopressor adapter,REVIEW_REQUIRED
support_intervals,respiratory_category,Invasive or explicit noninvasive category,string,,support_process,CUTOFF_SAFE_STATE_ONLY,true,false,false,false,Future ventilation class visible before start,Pulkit ventilation adapter,DRAFT_REVIEW_REQUIRED
support_intervals,interval_start,Genuine support transition time,timestamp,UTC,support_process,VISIBLE_ON_OR_AFTER_START,true,false,false,false,Future initiation leakage,Pulkit state/labels,DRAFT_REVIEW_REQUIRED
support_intervals,interval_end,Closed-open cessation boundary,timestamp,UTC,support_process,VISIBLE_ONLY_AFTER_CESSATION,true,false,false,false,Known-future duration leakage,Pulkit state/history adapter,DRAFT_REVIEW_REQUIRED
support_intervals,rate_value,Optional interval-segment vasopressor rate,number,rate_unit,support_process,CUTOFF_SAFE_INTERVAL_SEGMENT,true,false,false,false,Future rate segment leakage,Pulkit vaso state/Phase-6 SOFA,DRAFT_REVIEW_REQUIRED
support_intervals,rate_unit,Versioned rate unit,string,,support_process,SAME_AS_RATE,false,false,true,false,Unreviewed unit makes activity ambiguous,Pulkit vaso adapter,REVIEW_REQUIRED
support_intervals,normalization_provenance_ref,Synthetic mapping and adapter identity,string,,support_process,SAME_AS_INTERVAL,false,false,true,false,Wrong mapping silently changes endpoint,registry/Pulkit compatibility,DRAFT_REVIEW_REQUIRED
generator_internal_audit,internal_state_id,Internal development trace identity,string,,latent_state,INTERNAL_ONLY,false,false,false,true,Any export exposes hidden generator process,development validator,SPEC_ONLY_DO_NOT_EXPORT
generator_internal_audit,stay_id,Internal episode linkage,string,,latent_state,INTERNAL_ONLY,false,false,false,true,Allows latent linkage to final subject,development validator,SPEC_ONLY_DO_NOT_EXPORT
generator_internal_audit,simulation_time,Internal latent-state step,timestamp,UTC,latent_state,INTERNAL_ONLY,false,false,false,true,Exposes unobserved true process,development validator,SPEC_ONLY_DO_NOT_EXPORT
generator_internal_audit,latent_state_vector,Five-dimensional hidden dynamic state,array_number,dimensionless,latent_state,INTERNAL_ONLY,false,false,false,true,Direct target-generating information,development validator,SPEC_ONLY_DO_NOT_EXPORT
